ukprn,he_provider,country_of_he_provider,region_of_he_provider,academic_year,int_n_consult_sme,int_n_consult_lc,int_n_consult_nc,int_n_consult_total,int_v_consult_sme_000gbp,int_v_consult_lc_000gbp,int_v_consult_nc_000gbp,int_v_consult_total_000gbp,int_n_fe_sme,int_n_fe_lc,int_n_fe_nc,int_n_fe_total,int_v_fe_sme_000gbp,int_v_fe_lc_000gbp,int_v_fe_nc_000gbp,int_v_fe_total_000gbp,cpd_sme_000gbp,cpd_lc_000gbp,cpd_nc_000gbp,cpd_indiv_000gbp,cpd_tot_rev_000gbp,cpd_lrnr_days,contract_int_n_sme,contract_int_n_lc,contract_int_n_nc,contract_int_n_total,contract_int_v_sme_000gbp,contract_int_v_lc_000gbp,contract_int_v_nc_000gbp,contract_int_v_total_000gbp,cumul_patent,n_disclosures,n_patents_filed,n_external_patents,n_patents_granted,nonsoftware_sme,nonsoftware_lc,software_sme,software_lc,license_inc_nsw_nc_000gbp,license_inc_nsw_lc_000gbp,license_inc_nsw_sme_000gbp,license_inc_ip_nc_000gbp,license_inc_ip_lc_000gbp,license_inc_ip_sme_000gbp,license_inc_sw_nc_000gbp,license_inc_sw_lc_000gbp,license_inc_sw_sme_000gbp,external_investment_spin,n_spinouts_surv3,hefunds_eu_industry,hefunds_noneu_industry,hefunds_research_councils,hefunds_total,hefunds_uk_industry,inc_collab_public,ay_cpi,bci_sme,bci_lc,bci_total,cagr_5yr_2324,cluster
10007783,The University of Aberdeen,Scotland,Scotland,2014/15,6,59,34,99,72.16313771,191.9811777,144.3262754,408.4705908,27,20,27,74,476.5490226,675.3380435,5845.214154,6997.10122,42.20862772,409.8321594,585.4745135,920.4203979,1957.935699,14225,94,205,64,363,8112.225933,4877.138854,3986.672966,16976.03775,1380,60,20,12,28,11,4,0,0,0,57.18588271,1365.653342,0,0,0,0,0,0,605718.316,76,,,,,,,73.4447,10026.59144,5801.643958,15828.23539,-0.027154961,Scotland
10007783,The University of Aberdeen,Scotland,Scotland,2015/16,14,24,29,67,40.38946212,153.4799561,277.3409732,471.2103914,19,47,34,100,446.9767141,1330.159619,5682.79732,7459.933654,20.19473106,298.8820197,1420.362751,1280.345949,3019.785451,16687,98,266,93,457,8021.347177,5401.417401,2908.041273,16330.80585,1252,100,20,0,12,10,2,0,0,141.3631174,76.73997803,1078.398639,0,0,0,0,0,0,191629.1493,84,657.0019172,10106.78974,18873.99565,86162.83954,4950.401741,24442.35616,74.2768,9587.111992,6961.796954,16548.90895,-0.027154961,Scotland
10007783,The University of Aberdeen,Scotland,Scotland,2016/17,7,128,35,170,22.49254438,353.2652559,101.8779951,477.6357954,26,57,28,111,455.143251,1104.780856,5862.615539,7422.539646,17.200181,321.5110756,1279.428848,1620.786286,3238.926391,26830,96,275,117,488,7267.738017,5269.87084,2607.812058,15145.42091,892,64,12,0,76,8,1,1,0,2.646181692,34.400362,1061.118859,0,0,0,0,0,0,431237.6456,84,922.1943197,8672.860496,17590.4928,80674.14125,4596.417599,26338.76947,75.5806,8806.492671,6762.317314,15568.80999,-0.027154961,Scotland
10007783,The University of Aberdeen,Scotland,Scotland,2017/18,6,35,16,57,26.0433622,377.6287519,52.0867244,455.7588385,17,12,23,52,760.4661762,356.7940621,5676.150791,6793.411029,7.813008659,197.9295527,584.6734813,2218.894459,3009.310502,40039,77,186,95,358,7349.436812,4338.824142,1903.769777,13592.03073,464,60,20,0,48,6,1,0,1,31.25203464,0,1520.932352,0,0,0,0,0,0,133784.7516,100,920.6328537,8135.946351,15831.75988,73024.28544,4457.32144,24174.75096,76.795,9656.878703,5073.246956,14730.12566,-0.027154961,Scotland
10007783,The University of Aberdeen,Scotland,Scotland,2018/19,18,26,23,67,123.3487795,222.5364578,995.6916942,1341.576931,14,24,64,102,527.7293143,409.4670824,5554.509987,6491.706384,76.29821411,392.9358027,2032.075769,3222.327909,5723.637695,105507,69,150,90,309,8697.996409,4160.795943,1556.483568,14415.27592,488,48,20,0,24,9,10,2,0,8.901458313,11.44473212,2782.341541,0,0,0,0,0,0,72691.85186,84,778.241784,8507.250874,13270.80271,68935.43645,4556.275019,21710.65683,78.6388,12131.41604,4804.244215,16935.66026,-0.027154961,Scotland
10007783,The University of Aberdeen,Scotland,Scotland,2019/20,3,10,27,40,24.56887762,227.262118,1718.59299,1970.423985,11,37,62,110,340.278955,739.5232164,4159.510981,5239.313152,13.51288269,750.5792113,605.6228333,3537.918377,4907.633305,177609,58,254,89,401,9703.478216,3912.593761,925.0182424,14541.09022,484,24,16,8,0,1,1,0,0,1.228443881,15.96977045,1334.090055,0,0,0,0,0,0,716285.9719,84,971.6991099,7267.474,10703.43154,60538.9429,5997.263027,18904.52288,81.4038,11402.4161,4895.348866,16297.76497,-0.027154961,Scotland
10007783,The University of Aberdeen,Scotland,Scotland,2020/21,2,9,20,31,26.11018736,277.7174474,2050.836535,2354.66417,5,15,42,62,174.4635247,648.0073773,4629.81095,5452.281852,236.178513,187.5186183,2329.740809,2964.693093,5718.131033,201999,67,219,70,356,1621.20527,11261.79854,936.406265,13819.41008,216,32,20,8,16,3,0,0,0,0,238.5521664,58.15450822,0,0,0,0,0,0,109377.9485,88,661.062471,7373.754277,9961.036479,54507.38978,5292.060248,16222.73414,84.2583,1879.93349,12426.07553,14306.00902,-0.027154961,Scotland
10007783,The University of Aberdeen,Scotland,Scotland,2021/22,5,4,9,18,12.73593316,79.88903529,1109.183997,1201.808966,4,12,40,56,60.20622949,371.6576859,5029.535787,5461.399702,11.57812106,304.5045838,2540.23976,3193.245787,6049.568252,189798,74,158,54,286,1844.394684,11344.24301,765.3138018,13953.9515,156,24,8,8,4,4,0,0,0,0,241.9827301,20.8406179,0,0,0,0,0,0,181544.9382,76,754.8934929,8139.419103,11887.25689,58852.74714,4866.28428,22395.55956,86.3698,1938.177465,12037.77246,13975.94993,-0.027154961,Scotland
10007783,The University of Aberdeen,Scotland,Scotland,2022/23,10,6,11,27,60.92830805,184.9609352,2306.571662,2552.460905,5,40,41,86,9.792049509,1316.486656,1746.248829,3072.527535,60.92830805,348.1617603,1984.522034,3812.371275,6205.983377,173325,72,217,53,342,1362.182887,13218.17883,763.7798617,15344.14158,184,60,16,8,4,1,1,0,0,0,11.96806051,3.264016503,0,0,0,0,0,0,478291.5702,76,584.258954,7485.477847,12126.90931,61286.26186,6498.656857,20869.03351,91.9113,1436.167261,14731.59448,16167.76174,-0.027154961,Scotland
10007783,The University of Aberdeen,Scotland,Scotland,2023/24,12,27,41,80,25.94238301,778.2714902,2949.1301,3753.343973,3,41,35,79,4.150781281,207.539064,811.4777404,1023.167586,26.98007833,363.1933621,2426.131659,3254.212524,6070.517623,123466,51,258,6,315,1036.657625,11599.35829,3301.946509,15937.96242,128,60,40,4,24,2,1,0,0,143.2019542,541.6769571,8.301562562,0,0,0,0,0,0,113814.4227,76,682.8035207,6728.416456,13822.10167,59018.92134,5804.867621,15849.75832,96.3674,1075.052352,13126.8458,14201.89815,-0.027154961,Scotland
10007783,The University of Aberdeen,Scotland,Scotland,2024/25,2,13,75,90,47,120,4140,4307,22,33,62,117,199,765,685,1649,117,291,1638,3153,5199,114009,50,220,18,288,695,10013,2660,13368,144,64,36,20,84,2,0,0,0,5,32,2,0,0,0,0,0,0,40824,64,477,2049,14888,54243,8261,12870,100,943,10930,11873,-0.027154961,Scotland
10007849,Abertay University,Scotland,Scotland,2014/15,6,0,3,9,42.20862772,0,78.97098089,121.1796086,0,0,0,0,0,0,0,0,93.94823588,1.361568636,186.5349031,276.3984331,558.2431408,683,0,6,26,32,0,73.52470634,541.9043171,615.4290235,0,0,0,0,0,0,0,0,0,0,0,0,2.723137272,0,0,0,1.361568636,0,0,52,,,,,,,73.4447,42.20862772,74.88627498,117.0949027,0.136365869,Scotland
10007849,Abertay University,Scotland,Scotland,2015/16,0,1,3,4,0,25.57999268,200.6009952,226.1809879,0,0,0,0,0,0,0,0,0,0,146.748379,332.5399048,479.2882838,757,1,1,19,21,25.57999268,21.54104646,210.025203,257.1462422,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,387.7388364,1223.800702,5.385261616,963.9618293,74.2768,25.57999268,47.12103914,72.70103182,0.136365869,Scotland
10007849,Abertay University,Scotland,Scotland,2016/17,9,4,10,23,0,54.24672469,71.44690569,125.6936304,0,0,0,0,0,0,0,0,0,0,0,624.4988793,624.4988793,986,4,1,11,16,48.9543613,1.323090846,166.7094466,216.9868988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276.5259868,1532.1392,44.98508877,1054.503404,75.5806,48.9543613,55.56981553,104.5241768,0.136365869,Scotland
10007849,Abertay University,Scotland,Scotland,2017/18,1,5,6,12,5.20867244,27.34553031,32.55420275,65.1084055,0,0,0,0,0,0,0,0,0,0,0,643.2710463,643.2710463,364,0,4,12,16,0,44.27371574,236.994596,281.2683117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354.1897259,1713.653233,144.5406602,984.4390911,76.795,5.20867244,71.61924604,76.82791848,0.136365869,Scotland
10007849,Abertay University,Scotland,Scotland,2018/19,0,10,7,17,0,62.31020819,44.50729157,106.8174998,0,0,0,0,0,0,0,0,0,0,0,110.6324105,110.6324105,0,0,10,9,19,0,44.50729157,204.7335412,249.2408328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,954.9993133,2620.843655,148.7815175,1812.082585,78.6388,0,106.8174998,106.8174998,0.136365869,Scotland
10007849,Abertay University,Scotland,Scotland,2019/20,1,4,3,8,3.685331643,60.19375017,30.71109702,94.59017884,0,0,0,0,0,0,0,0,0,4.913775524,6.142219405,0,11.05599493,0,0,2,20,22,0,27.02576538,439.7829094,466.8086748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1808.269393,2940.894651,257.973215,3583.370801,81.4038,3.685331643,87.21951555,90.90484719,0.136365869,Scotland
10007849,Abertay University,Scotland,Scotland,2020/21,2,2,6,10,8.307786889,13.05509368,53.40720143,74.770082,0,0,0,0,0,0,0,0,0,0,14.24192038,117.4958431,131.7377635,155,1,0,22,23,18.98922717,0,414.2025177,433.1917449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2165.958725,3396.698011,168.5293912,8299.479102,84.2583,27.29701406,13.05509368,40.35210774,0.136365869,Scotland
10007849,Abertay University,Scotland,Scotland,2021/22,2,4,0,6,3.473436317,69.46872634,0,72.94216265,0,0,0,0,0,0,0,0,0,0,0,104.2030895,104.2030895,132,4,4,32,40,97.25621687,39.36561159,591.641986,728.2638144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1502.840113,3251.136393,136.6218285,7280.32252,86.3698,100.7296532,108.8343379,209.5639911,0.136365869,Scotland
